customer_id,city,gender,education_level,employment_status,device_type,membership_plan,satisfaction,newsletter,support_contacted,preferred_payment
2001,Bengaluru,Female,PhD,Employed,Android,Basic,Very Dissatisfied,No,No,Net Banking
2002,Pune,Male,Master's,Student,Windows Laptop,Basic,Satisfied,Yes,No,Net Banking
2003,Jaipur,Male,Master's,Self-employed,MacBook,Basic,Neutral,Yes,No,Credit Card
2004,Jaipur,Female,Bachelor's,Employed,Android,Standard,Satisfied,Yes,No,Net Banking
2005,Mumbai,Male,Master's,Employed,Android,Standard,Very Satisfied,Yes,Yes,UPI
2006,Pune,Female,Diploma,Employed,iPhone,Basic,Neutral,Yes,No,UPI
2007,Mumbai,Female,High School,Employed,Windows Laptop,Standard,Satisfied,Yes,Yes,UPI
2008,Hyderabad,Female,PhD,Student,iPhone,Basic,Neutral,Yes,No,Credit Card
2009,Chennai,Male,Master's,Student,Android,Basic,Very Dissatisfied,Yes,No,UPI
2010,Hyderabad,Female,Bachelor's,Student,iPhone,Basic,Very Satisfied,No,No,Cash
2011,Kolkata,Male,Master's,Employed,iPhone,Standard,Satisfied,Yes,No,UPI
2012,Hyderabad,Female,Bachelor's,Student,Android,Basic,Very Satisfied,Yes,No,UPI
2013,Chennai,Male,Bachelor's,Unemployed,Android,Standard,Satisfied,Yes,No,Credit Card
2014,Chennai,Female,Bachelor's,Employed,Tablet,Basic,Dissatisfied,Yes,Yes,UPI
2015,Hyderabad,Female,Diploma,Employed,Android,Standard,Satisfied,Yes,No,Debit Card
2016,Hyderabad,Female,Bachelor's,Employed,Android,Basic,Neutral,Yes,No,UPI
2017,Kolkata,Male,Bachelor's,Employed,Android,Standard,Very Satisfied,No,No,Cash
2018,Bengaluru,Female,Bachelor's,Employed,iPhone,Standard,Satisfied,Yes,No,Debit Card
2019,Pune,Non-binary,,Employed,iPhone,Basic,Satisfied,No,Yes,UPI
2020,Bengaluru,Male,PhD,Employed,Android,Basic,Satisfied,Yes,Yes,UPI
2021,Chennai,Non-binary,Bachelor's,Employed,iPhone,Standard,Satisfied,Yes,No,UPI
2022,Mumbai,Female,Master's,Employed,Windows Laptop,Premium,Very Satisfied,Yes,No,Cash
2023,Chennai,Male,High School,Retired,Android,Premium,Dissatisfied,Yes,No,Debit Card
2024,Hyderabad,Male,Bachelor's,Employed,MacBook,Basic,Very Dissatisfied,Yes,No,Credit Card
2025,Kolkata,Male,Master's,Employed,Android,Standard,Dissatisfied,Yes,No,UPI
2026,Delhi,Non-binary,Bachelor's,Student,Android,Basic,Satisfied,Yes,No,Net Banking
2027,Pune,Male,Diploma,Employed,Tablet,Basic,Satisfied,No,Yes,UPI
2028,Hyderabad,Male,Bachelor's,Employed,MacBook,Standard,Dissatisfied,Yes,No,Debit Card
2029,Kolkata,Male,Bachelor's,Student,Android,Standard,Satisfied,Yes,Yes,Debit Card
2030,Kolkata,Female,Bachelor's,Employed,MacBook,Standard,Satisfied,No,No,UPI
2031,Bengaluru,Male,Bachelor's,Employed,iPhone,Standard,Dissatisfied,Yes,No,Credit Card
2032,Bengaluru,Male,Bachelor's,Student,Android,Basic,Very Satisfied,No,No,UPI
2033,Jaipur,Male,Master's,Unemployed,MacBook,Standard,Satisfied,No,No,UPI
2034,Kolkata,Male,High School,Employed,Windows Laptop,Basic,Satisfied,No,No,Cash
2035,Delhi,Female,Bachelor's,Employed,Android,Basic,Satisfied,Yes,No,Debit Card
2036,Hyderabad,Female,Master's,Employed,iPhone,Basic,Neutral,Yes,No,Net Banking
2037,Hyderabad,Female,Diploma,Unemployed,Android,Premium,Very Satisfied,Yes,Yes,Credit Card
2038,Mumbai,Male,Diploma,Employed,Android,Standard,Satisfied,Yes,No,UPI
2039,Delhi,Female,Diploma,Employed,Tablet,Basic,Satisfied,Yes,No,Debit Card
2040,Delhi,Male,High School,Employed,iPhone,Standard,Very Satisfied,Yes,No,Credit Card
2041,Chennai,Male,Bachelor's,Employed,iPhone,Premium,Very Satisfied,Yes,No,UPI
2042,Bengaluru,Male,High School,Employed,iPhone,Premium,Very Satisfied,Yes,Yes,Credit Card
2043,Jaipur,Female,Bachelor's,Retired,iPhone,Standard,Neutral,Yes,No,Credit Card
2044,Hyderabad,Male,PhD,Employed,Android,Basic,Dissatisfied,Yes,No,Debit Card
