record_id,age,annual_income,monthly_spending,hours_sleep,study_hours_per_week,commute_minutes,exam_score
1001,38,52326.0,3628.66,6.8,7.3,39,88.1
1002,25,62795.0,3312.81,7.5,5.9,40,74.2
1003,43,115436.0,3037.81,5.8,8.0,41,78.0
1004,44,121096.0,4947.1,7.3,10.4,57,83.3
1005,18,56469.0,2515.57,8.7,7.7,18,77.5
1006,22,58452.0,5466.33,7.4,1.1,41,82.9
1007,36,82790.0,2952.03,6.7,9.1,61,95.3
1008,32,39884.0,1795.28,6.5,8.4,7,96.2
1009,35,62421.0,3276.91,6.6,11.7,41,94.3
1010,26,54462.0,2016.13,6.8,10.4,27,99.2
1011,44,61968.0,2373.07,6.7,16.3,31,86.6
1012,43,40071.0,3636.74,7.8,3.6,22,87.2
1013,36,30063.0,3811.14,5.4,13.2,35,96.6
1014,46,25018.0,2515.62,7.8,3.6,71,84.8
1015,40,35972.0,4286.15,6.7,12.3,15,99.3
1016,26,46203.0,4473.26,7.3,2.9,17,66.1
1017,39,49201.0,4779.93,6.0,11.1,15,76.4
1018,25,250000.0,3782.35,8.2,8.7,69,83.4
1019,44,83731.0,4699.77,8.1,18.8,30,100.0
1020,35,38158.0,1131.12,7.9,4.7,38,88.0
1021,33,62769.0,2850.3,5.6,13.4,31,82.0
1022,28,47117.0,2246.29,7.7,2.4,21,65.9
1023,47,49367.0,3331.15,7.4,7.6,34,79.3
1024,33,,2571.41,5.6,5.6,82,74.9
1025,31,69590.0,3017.23,7.0,4.5,63,65.3
1026,31,48348.0,5270.39,7.3,5.9,23,68.4
1027,40,82401.0,3013.31,7.5,10.4,50,84.7
1028,39,35637.0,3655.17,7.2,6.6,23,84.8
1029,39,55133.0,2944.5,7.3,9.8,6,79.4
1030,39,147592.0,3283.28,8.3,11.7,56,96.2
1031,56,59866.0,3206.62,8.1,18.2,59,100.0
1032,31,94818.0,3693.16,4.4,9.2,57,71.0
1033,30,56946.0,4481.84,6.7,6.4,30,80.4
1034,27,68582.0,5012.13,6.9,5.6,35,91.4
1035,41,53826.0,3540.58,5.4,13.3,51,90.9
1036,46,51551.0,3848.5,7.1,4.6,45,73.6
1037,34,40900.0,1934.05,8.1,3.0,31,89.4
1038,27,64770.0,3103.34,6.0,12.2,9,90.8
1039,27,39795.0,4234.32,7.3,18.3,40,100.0
1040,42,70828.0,4152.57,6.2,12.2,57,98.5
1041,42,83075.0,3432.77,6.4,5.2,16,75.8
1042,40,63220.0,4175.03,8.3,1.0,49,78.6
1043,28,49331.0,3739.84,6.5,3.0,44,77.8
1044,37,65355.0,4520.34,7.4,1.8,52,84.0
1045,36,48913.0,18000.0,5.3,14.6,54,92.2
1046,37,78480.0,2808.73,8.7,2.8,25,79.0
1047,44,27423.0,3569.43,7.5,6.1,9,82.8
1048,37,48415.0,500.0,6.8,1.8,28,79.6
1049,42,25812.0,3621.17,7.5,5.3,54,71.4
1050,36,31162.0,500.0,5.7,4.8,28,87.1
1051,38,92351.0,1304.19,8.1,11.3,26,100.0
1052,41,77285.0,3696.95,6.7,11.4,5,80.3
1053,20,41843.0,3725.28,6.8,7.6,70,97.4
1054,32,31074.0,1921.33,6.6,5.2,53,100.0
1055,30,17829.0,2416.69,6.5,4.0,52,86.8
1056,29,44737.0,4707.6,7.6,10.9,55,100.0
1057,32,137978.0,2667.57,7.2,16.0,48,100.0
1058,50,64883.0,5667.21,7.6,4.6,34,63.7
1059,26,44465.0,3197.89,7.0,5.9,35,63.5
1060,45,65632.0,3648.84,7.5,2.9,30,78.9
1061,18,30392.0,4978.56,6.6,1.1,85,64.7
1062,32,49124.0,3344.13,9.0,7.2,48,79.7
1063,37,57119.0,2097.42,5.6,4.7,30,75.9
1064,41,53230.0,3079.3,8.1,13.3,46,100.0
1065,42,74280.0,3160.83,8.2,1.5,20,60.2
1066,43,62696.0,1698.78,6.2,3.7,65,71.1
1067,32,70902.0,2918.58,9.0,2.3,26,93.2
1068,30,42341.0,2383.59,7.9,7.3,47,76.1
1069,44,77363.0,4216.79,7.9,4.3,57,89.0
1070,33,102138.0,3238.07,7.0,2.4,45,69.4
1071,22,38041.0,2888.92,6.8,5.6,40,86.4
1072,24,39252.0,3083.2,6.8,4.1,38,88.6
1073,26,91371.0,3445.43,,3.6,37,85.1
1074,40,51143.0,3878.5,8.3,7.8,28,97.9
1075,36,93764.0,2100.32,7.2,1.4,30,61.0
1076,42,46487.0,2054.25,6.2,8.7,65,97.7
1077,31,95607.0,4415.15,7.7,13.6,36,91.8
1078,37,57818.0,2746.43,7.8,6.0,24,86.4
1079,41,60671.0,1641.47,7.6,8.4,29,91.3
1080,32,99676.0,3688.19,7.7,6.1,58,88.7
1081,40,47936.0,3709.71,6.8,4.1,50,81.0
1082,28,38463.0,1516.21,6.2,8.8,48,78.3
1083,31,46380.0,3452.43,6.2,5.4,33,65.8
1084,31,65315.0,4009.14,5.5,6.3,48,88.6
1085,23,30336.0,3611.83,7.2,8.1,26,89.1
1086,40,70075.0,3895.18,6.9,2.3,33,85.4
1087,30,44818.0,1655.3,6.6,1.2,55,70.4
1088,35,85072.0,3564.14,4.3,19.8,54,93.1
1089,40,22143.0,2867.12,5.9,8.4,20,94.9
1090,39,40790.0,2668.93,8.0,7.6,23,84.0
1091,42,28976.0,4157.61,6.4,3.9,40,79.8
1092,34,40180.0,4827.2,7.3,8.6,180,82.0
1093,31,60428.0,5173.81,5.7,3.9,5,91.4
1094,34,51379.0,4646.29,8.3,9.8,43,84.4
1095,18,49951.0,3079.29,6.9,8.8,13,84.8
